timestamp,sport,game_title,outcome,price,market_id
2026-05-03 19:19:06+00:00,Soccer,Sevilla FC vs. RCD Espanyol de Barcelona,Yes,0.265,2083583
2026-05-03 19:19:06+00:00,Soccer,Sevilla FC vs. Real Sociedad de Fútbol,No,0.605,2041096
2026-05-03 19:19:06+00:00,Soccer,Sevilla FC vs. Real Sociedad de Fútbol,Yes,0.395,2041096
2026-05-03 19:19:06+00:00,Soccer,Sevilla FC vs. Real Sociedad de Fútbol,No,0.725,2041097
2026-05-03 19:19:06+00:00,Soccer,Sevilla FC vs. Real Sociedad de Fútbol,Yes,0.275,2041097
2026-05-03 19:19:06+00:00,Soccer,Sevilla FC vs. Real Sociedad de Fútbol,No,0.665,2041098
2026-05-03 19:19:06+00:00,Soccer,Sevilla FC vs. Real Sociedad de Fútbol,Yes,0.335,2041098
2026-05-03 19:19:06+00:00,Soccer,Sunderland AFC vs. Manchester United FC,No,0.765,2082140
2026-05-03 19:19:06+00:00,Soccer,Sunderland AFC vs. Manchester United FC,Yes,0.235,2082140
2026-05-03 19:19:06+00:00,Soccer,Sunderland AFC vs. Manchester United FC,No,0.755,2082143
2026-05-03 19:19:06+00:00,Soccer,Sunderland AFC vs. Manchester United FC,Yes,0.245,2082143
2026-05-03 19:19:06+00:00,Soccer,Sunderland AFC vs. Manchester United FC,No,0.475,2082146
2026-05-03 19:19:06+00:00,Soccer,Sunderland AFC vs. Manchester United FC,Yes,0.525,2082146
2026-05-03 19:19:06+00:00,Soccer,Tottenham Hotspur FC vs. Leeds United FC,No,0.46,2101830
2026-05-03 19:19:06+00:00,Soccer,Tottenham Hotspur FC vs. Leeds United FC,Yes,0.54,2101830
2026-05-03 19:19:06+00:00,Soccer,Tottenham Hotspur FC vs. Leeds United FC,No,0.765,2101844
2026-05-03 19:19:06+00:00,Soccer,Tottenham Hotspur FC vs. Leeds United FC,Yes,0.235,2101844
2026-05-03 19:19:06+00:00,Soccer,Tottenham Hotspur FC vs. Leeds United FC,No,0.76,2101855
2026-05-03 19:19:06+00:00,Soccer,Tottenham Hotspur FC vs. Leeds United FC,Yes,0.24,2101855
2026-05-03 19:19:06+00:00,Soccer,West Ham United FC vs. Arsenal FC,No,0.825,2091296
2026-05-03 19:19:06+00:00,Soccer,West Ham United FC vs. Arsenal FC,Yes,0.175,2091296
2026-05-03 19:19:06+00:00,Soccer,West Ham United FC vs. Arsenal FC,No,0.775,2091300
2026-05-03 19:19:06+00:00,Soccer,West Ham United FC vs. Arsenal FC,Yes,0.225,2091300
2026-05-03 19:19:06+00:00,Soccer,West Ham United FC vs. Arsenal FC,No,0.385,2091304
2026-05-03 19:19:06+00:00,Soccer,West Ham United FC vs. Arsenal FC,Yes,0.615,2091304
